Dataset,StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
MID,2026-01-04T21:00:00Z,N2EXMIDP,2026-01-04,43,0.00,0.000
MID,2026-01-04T20:30:00Z,APXMIDP,2026-01-04,42,91.59,3167.650
MID,2026-01-04T20:30:00Z,N2EXMIDP,2026-01-04,42,0.00,0.000
MID,2026-01-04T20:00:00Z,APXMIDP,2026-01-04,41,98.88,2928.250
MID,2026-01-04T20:00:00Z,N2EXMIDP,2026-01-04,41,0.00,0.000
MID,2026-01-04T19:30:00Z,APXMIDP,2026-01-04,40,100.38,2838.550
MID,2026-01-04T19:30:00Z,N2EXMIDP,2026-01-04,40,0.00,0.000
MID,2026-01-04T19:00:00Z,APXMIDP,2026-01-04,39,107.46,2506.900
MID,2026-01-04T19:00:00Z,N2EXMIDP,2026-01-04,39,0.00,0.000
MID,2026-01-04T18:30:00Z,APXMIDP,2026-01-04,38,113.11,2697.850
MID,2026-01-04T18:30:00Z,N2EXMIDP,2026-01-04,38,0.00,0.000
MID,2026-01-04T18:00:00Z,APXMIDP,2026-01-04,37,114.18,2606.250
MID,2026-01-04T18:00:00Z,N2EXMIDP,2026-01-04,37,0.00,0.000
MID,2026-01-04T17:30:00Z,APXMIDP,2026-01-04,36,113.88,2597.100
MID,2026-01-04T17:30:00Z,N2EXMIDP,2026-01-04,36,0.00,0.000
MID,2026-01-04T17:00:00Z,APXMIDP,2026-01-04,35,113.91,2600.750
MID,2026-01-04T17:00:00Z,N2EXMIDP,2026-01-04,35,0.00,0.000
MID,2026-01-04T16:30:00Z,APXMIDP,2026-01-04,34,109.96,2531.800
MID,2026-01-04T16:30:00Z,N2EXMIDP,2026-01-04,34,0.00,0.000
MID,2026-01-04T16:00:00Z,APXMIDP,2026-01-04,33,107.38,2352.850
MID,2026-01-04T16:00:00Z,N2EXMIDP,2026-01-04,33,0.00,0.000
MID,2026-01-04T15:30:00Z,APXMIDP,2026-01-04,32,102.46,2737.900
MID,2026-01-04T15:30:00Z,N2EXMIDP,2026-01-04,32,0.00,0.000
MID,2026-01-04T15:00:00Z,APXMIDP,2026-01-04,31,93.48,2699.750
MID,2026-01-04T15:00:00Z,N2EXMIDP,2026-01-04,31,0.00,0.000
MID,2026-01-04T14:30:00Z,APXMIDP,2026-01-04,30,80.57,3165.350
MID,2026-01-04T14:30:00Z,N2EXMIDP,2026-01-04,30,0.00,0.000
MID,2026-01-04T14:00:00Z,APXMIDP,2026-01-04,29,88.80,3306.550
MID,2026-01-04T14:00:00Z,N2EXMIDP,2026-01-04,29,0.00,0.000
MID,2026-01-04T13:30:00Z,APXMIDP,2026-01-04,28,80.25,2691.650
MID,2026-01-04T13:30:00Z,N2EXMIDP,2026-01-04,28,0.00,0.000
MID,2026-01-04T13:00:00Z,APXMIDP,2026-01-04,27,82.63,2892.600
MID,2026-01-04T13:00:00Z,N2EXMIDP,2026-01-04,27,0.00,0.000
MID,2026-01-04T12:30:00Z,APXMIDP,2026-01-04,26,83.36,2538.400
MID,2026-01-04T12:30:00Z,N2EXMIDP,2026-01-04,26,0.00,0.000
MID,2026-01-04T12:00:00Z,APXMIDP,2026-01-04,25,85.11,2414.500
MID,2026-01-04T12:00:00Z,N2EXMIDP,2026-01-04,25,0.00,0.000
MID,2026-01-04T11:30:00Z,APXMIDP,2026-01-04,24,90.17,2273.300
MID,2026-01-04T11:30:00Z,N2EXMIDP,2026-01-04,24,0.00,0.000
MID,2026-01-04T11:00:00Z,APXMIDP,2026-01-04,23,91.28,2272.400
MID,2026-01-04T11:00:00Z,N2EXMIDP,2026-01-04,23,0.00,0.000
MID,2026-01-04T10:30:00Z,APXMIDP,2026-01-04,22,88.87,2171.250
MID,2026-01-04T10:30:00Z,N2EXMIDP,2026-01-04,22,0.00,0.000
MID,2026-01-04T10:00:00Z,APXMIDP,2026-01-04,21,89.55,2535.150
MID,2026-01-04T10:00:00Z,N2EXMIDP,2026-01-04,21,0.00,0.000
MID,2026-01-04T09:30:00Z,APXMIDP,2026-01-04,20,90.22,2825.300
MID,2026-01-04T09:30:00Z,N2EXMIDP,2026-01-04,20,0.00,0.000
MID,2026-01-04T09:00:00Z,APXMIDP,2026-01-04,19,86.25,2622.800
MID,2026-01-04T09:00:00Z,N2EXMIDP,2026-01-04,19,0.00,0.000
MID,2026-01-04T08:30:00Z,APXMIDP,2026-01-04,18,92.50,1585.200
MID,2026-01-04T08:30:00Z,N2EXMIDP,2026-01-04,18,0.00,0.000
MID,2026-01-04T08:00:00Z,APXMIDP,2026-01-04,17,86.60,1640.800
MID,2026-01-04T08:00:00Z,N2EXMIDP,2026-01-04,17,0.00,0.000
MID,2026-01-04T07:30:00Z,APXMIDP,2026-01-04,16,83.38,1651.050
MID,2026-01-04T07:30:00Z,N2EXMIDP,2026-01-04,16,0.00,0.000
MID,2026-01-04T07:00:00Z,APXMIDP,2026-01-04,15,81.48,1949.150
MID,2026-01-04T07:00:00Z,N2EXMIDP,2026-01-04,15,0.00,0.000
MID,2026-01-04T06:30:00Z,APXMIDP,2026-01-04,14,82.35,1807.900
MID,2026-01-04T06:30:00Z,N2EXMIDP,2026-01-04,14,0.00,0.000
MID,2026-01-04T06:00:00Z,APXMIDP,2026-01-04,13,83.13,1383.150
MID,2026-01-04T06:00:00Z,N2EXMIDP,2026-01-04,13,0.00,0.000
MID,2026-01-04T05:30:00Z,APXMIDP,2026-01-04,12,81.10,1633.900
MID,2026-01-04T05:30:00Z,N2EXMIDP,2026-01-04,12,0.00,0.000
MID,2026-01-04T05:00:00Z,APXMIDP,2026-01-04,11,81.60,1382.750
MID,2026-01-04T05:00:00Z,N2EXMIDP,2026-01-04,11,0.00,0.000
MID,2026-01-04T04:30:00Z,APXMIDP,2026-01-04,10,81.04,1829.200
MID,2026-01-04T04:30:00Z,N2EXMIDP,2026-01-04,10,0.00,0.000
MID,2026-01-04T04:00:00Z,APXMIDP,2026-01-04,9,78.63,1833.600
MID,2026-01-04T04:00:00Z,N2EXMIDP,2026-01-04,9,0.00,0.000
MID,2026-01-04T03:30:00Z,APXMIDP,2026-01-04,8,78.15,1546.850
MID,2026-01-04T03:30:00Z,N2EXMIDP,2026-01-04,8,0.00,0.000
MID,2026-01-04T03:00:00Z,APXMIDP,2026-01-04,7,79.12,1379.150
MID,2026-01-04T03:00:00Z,N2EXMIDP,2026-01-04,7,0.00,0.000
MID,2026-01-04T02:30:00Z,APXMIDP,2026-01-04,6,81.44,1278.650
MID,2026-01-04T02:30:00Z,N2EXMIDP,2026-01-04,6,0.00,0.000
MID,2026-01-04T02:00:00Z,APXMIDP,2026-01-04,5,83.09,1257.850
MID,2026-01-04T02:00:00Z,N2EXMIDP,2026-01-04,5,0.00,0.000
MID,2026-01-04T01:30:00Z,APXMIDP,2026-01-04,4,83.48,1257.500
MID,2026-01-04T01:30:00Z,N2EXMIDP,2026-01-04,4,0.00,0.000
MID,2026-01-04T01:00:00Z,APXMIDP,2026-01-04,3,85.72,1420.200
MID,2026-01-04T01:00:00Z,N2EXMIDP,2026-01-04,3,0.00,0.000
MID,2026-01-04T00:30:00Z,APXMIDP,2026-01-04,2,84.90,1530.900
MID,2026-01-04T00:30:00Z,N2EXMIDP,2026-01-04,2,0.00,0.000
MID,2026-01-04T00:00:00Z,APXMIDP,2026-01-04,1,80.97,1387.550
MID,2026-01-04T00:00:00Z,N2EXMIDP,2026-01-04,1,0.00,0.000
MID,2026-01-03T23:30:00Z,APXMIDP,2026-01-03,48,78.67,1567.200
MID,2026-01-03T23:30:00Z,N2EXMIDP,2026-01-03,48,0.00,0.000
MID,2026-01-03T23:00:00Z,APXMIDP,2026-01-03,47,82.13,1692.950
MID,2026-01-03T23:00:00Z,N2EXMIDP,2026-01-03,47,0.00,0.000
MID,2026-01-03T22:30:00Z,APXMIDP,2026-01-03,46,79.76,2379.850
MID,2026-01-03T22:30:00Z,N2EXMIDP,2026-01-03,46,0.00,0.000
MID,2026-01-03T22:00:00Z,APXMIDP,2026-01-03,45,84.32,2368.100
MID,2026-01-03T22:00:00Z,N2EXMIDP,2026-01-03,45,0.00,0.000
