PublishTime,StartTime,SettlementDate,SettlementPeriod,InitialDemandOutturn,InitialTransmissionSystemDemandOutturn
2026-06-03T23:30:00Z,2026-06-03T23:00:00Z,2026-06-04,1,20637,22756
2026-06-04T00:00:00Z,2026-06-03T23:30:00Z,2026-06-04,2,20167,22761
2026-06-04T00:30:00Z,2026-06-04T00:00:00Z,2026-06-04,3,19748,22232
2026-06-04T01:00:00Z,2026-06-04T00:30:00Z,2026-06-04,4,19962,22448
2026-06-04T01:30:00Z,2026-06-04T01:00:00Z,2026-06-04,5,19432,21950
2026-06-04T02:00:00Z,2026-06-04T01:30:00Z,2026-06-04,6,19095,21577
2026-06-04T02:30:00Z,2026-06-04T02:00:00Z,2026-06-04,7,18356,20908
2026-06-04T03:00:00Z,2026-06-04T02:30:00Z,2026-06-04,8,18206,20898
2026-06-04T03:30:00Z,2026-06-04T03:00:00Z,2026-06-04,9,17856,20737
2026-06-04T04:00:00Z,2026-06-04T03:30:00Z,2026-06-04,10,17638,20494
2026-06-04T04:30:00Z,2026-06-04T04:00:00Z,2026-06-04,11,17292,20397
2026-06-04T05:00:00Z,2026-06-04T04:30:00Z,2026-06-04,12,17638,20723
2026-06-04T05:30:00Z,2026-06-04T05:00:00Z,2026-06-04,13,19931,22091
2026-06-04T06:00:00Z,2026-06-04T05:30:00Z,2026-06-04,14,21076,23471
2026-06-04T06:30:00Z,2026-06-04T06:00:00Z,2026-06-04,15,22745,25247
2026-06-04T07:00:00Z,2026-06-04T06:30:00Z,2026-06-04,16,23537,25850
