Year,CalendarWeekNumber,Dataset,PublishTime,FuelType,NgcBmUnit,BmUnit,OutputUsable
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,26046
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3530
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3530
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,26781
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1000
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,1053
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5523
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1278
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,3003
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1726
2026,41,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,10376
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,9469
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1726
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,3003
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1278
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5523
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,1053
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1000
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,0
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,26781
2026,42,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3530
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3530
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,27286
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,0
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1000
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,1043
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5461
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1278
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,3003
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1726
2026,43,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,12652
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,13741
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1726
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,3003
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1278
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,4903
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,1083
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1000
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,27728
2026,44,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3585
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,10144
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1726
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,3003
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1278
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,4318
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,1103
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1000
